Id,title,score,desc,url,lat,lon,location
0,le coin des hirondelles,9.7,"Situé à Pontorson, l'établissement le coin des hirondelles propose un service de prêt de vélos, un jardin, une terrasse et une connexion Wi-Fi gratuite. ",https://www.booking.com/hotel/fr/le-coin-des-hirondelles.fr.html,48.6028643,-1.474069,Mont Saint Michel
1,L'ancien Presbytère d'Ardevon,9.6,"Situé à Pontorson, L'ancien Presbytère d'Ardevon se trouve à 4 km du Mont-Saint-Michel. Il met gratuitement à votre disposition une connexion Wi-Fi, un parking privé et un jardin meublé. ",https://www.booking.com/hotel/fr/l-39-ancien-presbytere-d-39-ardevon.fr.html,48.60332434,-1.47639652,Mont Saint Michel
2,"Maison chaleureuse, spacieuse et familiale",9.5,"Dotée d'une connexion Wi-Fi gratuite, la Maison chaleureuse, spacieuse et familiale est située à Beauvoir, à 23 km du Scriptorial d'Avranches. ",https://www.booking.com/hotel/fr/maison-chaleureuse-spacieuse-et-familiale.fr.html,48.5965771,-1.5052038,Mont Saint Michel
3,Gîtes le Mont Desclos Saint Michel,9.4,"Situé à Beauvoir, à 5,7 km de l'abbaye du Mont-Saint-Michel et à 23 km du Scriptorial d'Avranches, musee des manuscrits Le Gîtes le Mont Desclos Saint Michel propose des hébergements avec une...",https://www.booking.com/hotel/fr/gites-le-mont-desclos-saint-michel.fr.html,48.596656,-1.504449,Mont Saint Michel
4,Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),9.3,"Installée à 4,4 km de l'abbaye du Mont-Saint-Michel, la Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes) propose des maisons de vacances indépendantes donnant accès à une terrasse,...",https://www.booking.com/hotel/fr/residence-beauvoir-le-mont-saint-michel.fr.html,48.59787845,-1.50841866,Mont Saint Michel
5,Chambres d'Hôtes Les Vieilles Digues,9.3,"Occupant une maison bretonne restaurée, l'établissement à la gestion familiale Chambres d'Hôtes Les Vieilles Digues est situé à Beauvoir, à 3 km du Mont-Saint-Michel. ",https://www.booking.com/hotel/fr/chambres-d-ha-tes-les-vieilles-digues.fr.html,48.6041875,-1.51159912,Mont Saint Michel
6,Maison proche Mont Saint Michel,9.3,"À moins de 23 km de Scriptorial d'Avranches, musee des manuscrits Située à 45 km du port de la Houle, la Maison proche Mont Saint Michel propose une connexion Wi-Fi gratuite et une terrasse. ",https://www.booking.com/hotel/fr/maison-proche-mont-saint-michel.fr.html,48.59707061,-1.50422189,Mont Saint Michel
7,Gites Bellevue,9.3,"Situé à seulement 2 km du célèbre Mont-Saint-Michel, l'établissement Gites Bellevue vous propose des gîtes indépendants avec terrasse, jardin et barbecue. ",https://www.booking.com/hotel/fr/gites-bellevue.fr.html,48.60788007,-1.51722372,Mont Saint Michel
8,Etoile des Grèves,9.3,"Situé à 8,1 km de l'abbaye du Mont-Saint-Michel, l'Etoile des Grèves propose des hébergements avec connexion Wi-Fi et parking privé gratuits. ",https://www.booking.com/hotel/fr/etoile-des-greves.fr.html,48.615509,-1.491524,Mont Saint Michel
9,La Jacotière,9.3,"Implantée à Ardevon, la maison d'hôtes La Jacotière occupe une ancienne ferme rénovée pourvue d'un jardin et d'une terrasse meublée donnant sur le Mont-Saint-Michel, situé à seulement 3 km. ",https://www.booking.com/hotel/fr/la-jacotia-re.fr.html,48.61411436,-1.50431424,Mont Saint Michel
